date,usd2y,usd5y,usd10y,swaption_vol,eurusd,credit_spread
2020-01-02,1.500000,1.700000,1.900000,80.000000,1.114708,130.000000
2020-01-03,1.466931,1.650787,1.848070,80.852163,1.113048,132.008276
2020-01-06,1.502024,1.718370,1.879986,80.578026,1.112153,133.760147
2020-01-07,1.573713,1.776875,1.952665,80.510688,1.109663,133.823783
2020-01-08,1.507898,1.675002,1.883154,80.088437,1.114175,135.518381
2020-01-09,1.441822,1.630798,1.840079,80.835572,1.117753,134.489597
2020-01-10,1.466984,1.663111,1.870085,79.941905,1.124292,131.631316
2020-01-13,1.451029,1.677652,1.832176,79.714809,1.122432,130.641193
2020-01-14,1.450841,1.700518,1.862266,76.956088,1.129202,129.444764
2020-01-15,1.428988,1.682957,1.837158,79.063005,1.121527,128.539137
2020-01-16,1.468100,1.750376,1.904120,78.829823,1.113768,127.118746
2020-01-17,1.524052,1.804369,1.955957,79.405462,1.107029,126.509784
2020-01-20,1.524037,1.817911,1.968447,81.179093,1.107080,127.636713
2020-01-21,1.571294,1.881511,2.025892,81.509796,1.113756,130.504758
2020-01-22,1.589887,1.893952,2.062233,83.248280,1.110408,127.839156
2020-01-23,1.553688,1.841150,2.024688,81.614536,1.107764,125.900389
2020-01-24,1.595172,1.864175,2.064428,84.552158,1.106568,124.775071
2020-01-27,1.573110,1.826336,2.001621,85.799656,1.109742,126.152507
2020-01-28,1.645464,1.904998,2.042867,85.888796,1.107095,125.963066
2020-01-29,1.686843,1.909863,2.081681,87.557767,1.104146,124.944861
2020-01-30,1.671627,1.925160,2.070916,85.803610,1.096744,126.242185
2020-01-31,1.652427,1.915683,2.042956,85.253641,1.093613,127.909987
2020-02-03,1.694631,1.983981,2.094829,86.954627,1.100070,128.000872
2020-02-04,1.684559,1.993719,2.100947,84.341983,1.100571,126.814912
2020-02-05,1.665217,1.975025,2.076806,84.919269,1.096507,127.379210
2020-02-06,1.642606,1.986641,2.065241,85.446756,1.103305,127.132189
2020-02-07,1.657571,2.033037,2.112253,87.834629,1.100081,126.875246
2020-02-10,1.679377,2.039892,2.126242,85.533543,1.107920,126.186653
2020-02-11,1.686603,2.071861,2.166380,87.448201,1.115722,127.804760
2020-02-12,1.726227,2.129568,2.207755,86.486122,1.116035,128.326521
2020-02-13,1.810980,2.245998,2.333692,85.707480,1.107704,130.100377
2020-02-14,1.844956,2.239030,2.323785,83.976973,1.120457,132.337495
2020-02-17,1.824171,2.228191,2.358872,82.497614,1.122629,133.148489
2020-02-18,1.798767,2.175074,2.344310,82.921960,1.120812,132.406641
2020-02-19,1.812902,2.223001,2.385724,81.462171,1.126183,134.147096
2020-02-20,1.894832,2.265684,2.431904,82.327043,1.130145,134.950689
