date,usd2y,usd5y,usd10y,swaption_vol,eurusd,credit_spread
2020-01-02,1.500000,1.700000,1.900000,80.000000,1.125339,130.000000
2020-01-03,1.462401,1.715124,1.897659,79.147778,1.129321,129.623239
2020-01-06,1.505521,1.702689,1.963366,78.249074,1.128163,129.469342
2020-01-07,1.557025,1.792935,1.972832,79.719033,1.127929,128.857655
2020-01-08,1.478200,1.829425,1.956394,80.791901,1.126026,130.267343
2020-01-09,1.428889,1.765758,2.009436,81.500119,1.129529,131.390784
2020-01-10,1.444126,1.811413,2.066536,82.593568,1.125468,133.343383
2020-01-13,1.439319,1.777361,2.140172,80.103174,1.124393,132.880309
2020-01-14,1.448006,1.754317,2.191728,81.743340,1.111230,134.875550
2020-01-15,1.419027,1.780360,2.253430,82.172323,1.120845,132.744400
2020-01-16,1.468123,1.761992,2.297462,83.360661,1.119610,130.595541
2020-01-17,1.512452,1.819851,2.317948,83.742736,1.122163,128.747503
2020-01-20,1.524573,1.785774,2.329552,83.689341,1.130373,128.874766
2020-01-21,1.584401,1.760389,2.324771,83.231796,1.132071,130.909824
2020-01-22,1.614301,1.733047,2.271253,83.592058,1.140276,130.037298
2020-01-23,1.584376,1.710805,2.230802,83.092516,1.133219,129.374216
2020-01-24,1.609832,1.780217,2.224179,84.085568,1.146884,129.134845
2020-01-27,1.575443,1.823480,2.243754,81.985618,1.153135,130.160021
2020-01-28,1.623871,1.926033,2.323220,81.262503,1.154342,129.494221
2020-01-29,1.630329,2.058849,2.328237,83.754282,1.162596,128.745811
2020-01-30,1.630689,2.009724,2.385498,82.857335,1.155823,126.705721
2020-01-31,1.608725,2.021358,2.446322,82.474339,1.154156,125.923910
2020-02-03,1.672504,1.964382,2.441364,81.315339,1.162521,127.948609
2020-02-04,1.674060,1.929556,2.477733,81.686040,1.151719,128.214605
2020-02-05,1.663289,1.902983,2.472046,80.738332,1.154951,127.148692
2020-02-06,1.655990,1.853028,2.544665,80.491669,1.158028,129.255035
2020-02-07,1.688520,1.803562,2.582678,81.508138,1.169487,128.426143
2020-02-10,1.713411,1.804212,2.529223,80.613097,1.160267,130.813811
2020-02-11,1.740330,1.745876,2.543583,81.553664,1.169642,133.151444
2020-02-12,1.767956,1.801009,2.632214,82.518100,1.166375,133.309548
2020-02-13,1.872458,1.759129,2.629023,83.756374,1.163771,130.978773
2020-02-14,1.861880,1.922418,2.657293,83.817668,1.156682,134.732186
2020-02-17,1.846581,1.905703,2.690358,87.870504,1.150408,135.404506
2020-02-18,1.817775,1.917841,2.644165,89.020535,1.152731,134.932242
2020-02-19,1.853423,1.854726,2.675524,89.169140,1.146338,136.512724
2020-02-20,1.912013,1.956942,2.611530,87.719209,1.150589,137.671281
